#,Coleção,Nome PT-BR,Nome ENG,Link
1,Commander decks (2011),Heavenly Inferno,Heavenly Inferno,https://moxfield.com/decks/wxG6tvmYJkeQ1GLfU1yPMQ
2,Commander decks (2011),Mirror Mastery,Mirror Mastery,https://moxfield.com/decks/p4laBtU9cEKYGuOA1TaouQ
3,Commander decks (2011),Counterpunch,Counterpunch,https://moxfield.com/decks/tHrtB8bwt0SQjAqbm8bRTg
4,Commander decks (2011),Political Puppets,Political Puppets,https://moxfield.com/decks/_KUg_d81rUOo_Jf4iDUbxA
5,Commander decks (2011),Devour of Power,Devour of Power,https://moxfield.com/decks/DNf4uinmQUS90LLoKh-XeA
6,Commander 2013,Eternal Bargain,Eternal Bargain,https://moxfield.com/decks/Sw-ao1i3XkKCxkeLfZfowg
7,Commander 2013,Evasive Maneuvers,Evasive Maneuvers,https://moxfield.com/decks/6DO2G_9880ysfm0KfmPUYQ
8,Commander 2013,Mind Seize,Mind Seize,https://moxfield.com/decks/lCKNWnI3VUamSif1d-LUJA
9,Commander 2013,Nature of the Beast,Nature of the Beast,https://moxfield.com/decks/VfV9LrMhikWdbEZdnmY36g
10,Commander 2013,Power Hungry,Power Hungry,https://moxfield.com/decks/UqQ_low9XEiqV0F84m_5UA
11,Commander 2014,Built from Scratch,Built from Scratch,https://moxfield.com/decks/HAXp-SXyS0uEpMzK3RO49w
12,Commander 2014,Forged in Stone,Forged in Stone,https://moxfield.com/decks/yCMqu6XOWEqkpQFIliqkdQ
13,Commander 2014,Guided by Nature,Guided by Nature,https://moxfield.com/decks/LQKqYvuNWUexeQF7EDZr4w
14,Commander 2014,Peer Through Time,Peer Through Time,https://moxfield.com/decks/JvIHPRSsDUOkTrXLiof7Yw
15,Commander 2014,Sworn to Darkness,Sworn to Darkness,https://moxfield.com/decks/Sxxow-NUdECKl336ngE4eA
16,Commander 2015,Call the Spirits,Call the Spirits,https://moxfield.com/decks/r8LxxaqXj0-bBthx4iMRiw
17,Commander 2015,Seize Control,Seize Control,https://moxfield.com/decks/9xWe3BhbaEWqt4WNHdU7Ow
18,Commander 2015,Plunder the Graves,Plunder the Graves,https://moxfield.com/decks/VP5I096A6kuBGVWJeCUmFA
19,Commander 2015,Wade Into Battle,Wade Into Battle,https://moxfield.com/decks/pp4cRf7Fp0e3wsMi1lrRwQ
20,Commander 2015,Swell the Host,Swell the Host,https://moxfield.com/decks/sTwznDkLR06SrAiWHA9AIA
21,Commander 2016,Levante Entrópico,Entropic Uprising,https://moxfield.com/decks/s4Ex7br4q0iFcwYzq80M7w
22,Commander 2016,Conflito Aberto,Open Hostility,https://moxfield.com/decks/x4ZHwrqgN0qOauhiAGD7xw
23,Commander 2016,Unidade Resoluta,Stalwart Unity,https://moxfield.com/decks/xBoR-4FO-EOriiEP9Lf5DA
24,Commander 2016,Geração de Letalidade,Breed Lethality,https://moxfield.com/decks/rnkRQ7yt1EKD4pSVBEQX7w
25,Commander 2016,Invenção de Superioridade,Invent Superiority,https://moxfield.com/decks/joAb3H_a6k6bnZ6EyzMa9g
26,Commander 2017,Dominação Dracônica,Draconic Domination,https://moxfield.com/decks/KTYceB6oEEq8qQkae--11A
27,Commander 2017,Ferocidade Felina,Feline Ferocity,https://moxfield.com/decks/T9XdORiOPky0VSmV63hoKA
28,Commander 2017,Sede de Sangue Vampírica,Vampiric Bloodlust,https://moxfield.com/decks/kmTYgEUqA0iUtPW5XaMc1A
29,Commander 2017,Feitiçaria Arcana,Arcane Wizardry,https://moxfield.com/decks/hnlTL6_6_EyXRD1ryYJFtw
30,Commander 2018,Invenção Requintada,Exquisite Invention,https://moxfield.com/decks/ktbaP3ShEEmvkySrj3JLkw
31,Commander 2018,Vingança da Natureza,Nature's Vengeance,https://moxfield.com/decks/xQ0TgchSy0C9HG4k2WeyVg
32,Commander 2018,Encantamento Adaptativo,Adaptive Enchantment,https://moxfield.com/decks/64xc7oFyak2RjPAWc5RdCQ
33,Commander 2018,Realidade Subjetiva,Subjective Reality,https://moxfield.com/decks/Ddzgru7ROUOn8zC4Wt-4yA
34,Commander 2019,Ameaça sem Rosto,Faceless Menace,https://moxfield.com/decks/LCH-fa6KIUmzfF-ul72Ucw
35,Commander 2019,Intelecto Místico,Mystic Intellect,https://moxfield.com/decks/xLCFyXTS2kekOImXvfL0Uw
36,Commander 2019,Gênesi Primitiva,Primal Genesis,https://moxfield.com/decks/G-QzQ1Js3EKHgVcQ3OJ8xg
37,Commander 2019,Fúria Impiedosa,Merciless Rage,https://moxfield.com/decks/boKIjgCrEkKtuHlbl-c9CQ
38,Commander 2020 - Ikoria,Enxame Simbiótico,Symbiotic Swarm,https://moxfield.com/decks/9c0Mt_b1BUyBs6pE0bqE2w
39,Commander 2020 - Ikoria,Regimento Impiedoso,Ruthless Regiment,https://moxfield.com/decks/4FuPT3uQWEKQzsG_Z2BdeA
40,Commander 2020 - Ikoria,Sabedoria Eterna,Timeless Wisdom,https://moxfield.com/decks/mlElAIMD4EazCpFh8osZaw
41,Commander 2020 - Ikoria,Maelstrom Arcano,Arcane Maelstrom,https://moxfield.com/decks/9dBPnvVgpE6CUYp-3EHlAw
42,Commander 2020 - Ikoria,Evolução Aprimorada,Enhanced Evolution,https://moxfield.com/decks/PcXkTa6K80-4vME03GYG9A
43,Zendikar Rising,Fúria da Terra,Land's Wrath,https://moxfield.com/decks/YJWI2Mlt6EedrjrZobzSgg
44,Zendikar Rising,Ataque Surpresa,Sneak Attack,https://moxfield.com/decks/RzsmVOnyREuqPhNrhrA-ow
45,Commander Legends,Arme-se para a Batalha,Arm for Battle,https://moxfield.com/decks/GXIGAHSYV0SAsyuODY0Zhw
46,Commander Legends,Domine as Marés,Reap the Tides,https://moxfield.com/decks/XPuO4n15VUm73zZ7tD7TbQ
47,Kaldheim,Império Élfico,Elven Empire,https://moxfield.com/decks/yx0-rPlo_Eq-DkH0wKf0wQ
48,Kaldheim,Premonição Fantasmagórica,Phantom Premonition,https://moxfield.com/decks/SoT4eYeImUKPF6LeGD3D8g
49,Commander 2021 - Strixhaven,Quandrix Quântica,Quantum Quandrix,https://moxfield.com/decks/PZE0uF5pckKFccZKFvp1mg
50,Commander 2021 - Strixhaven,Performance de Prismari,Prismari Performance,https://moxfield.com/decks/8r2Uo-RRk0GrSJxp4GdiDw
51,Commander 2021 - Strixhaven,Legados de Sapioforte,Lorehold Legacies,https://moxfield.com/decks/0SiAPShjKUqbAIvvOAMhQg
52,Commander 2021 - Strixhaven,Feitiçaria de Murchaflor,Witherbloom Witchcraft,https://moxfield.com/decks/zb25DvMdCkS_I_QE5CIJ8Q
53,Commander 2021 - Strixhaven,Declaração de Platinopena,Silverquill Statement,https://moxfield.com/decks/Mfa3Pf1aZ0m4-Sb6DwlMTw
54,Dungeons and Dragons: Adventures in the Forgotten Realms,Portal Planar,Planar Portal,https://moxfield.com/decks/Rt1WyFvPzEGqjiWbWMInmA
55,Dungeons and Dragons: Adventures in the Forgotten Realms,Aura de Coragem,Aura of Courage,https://moxfield.com/decks/c5JdI043JUywxw7shtbp1Q
56,Dungeons and Dragons: Adventures in the Forgotten Realms,Masmorras da Morte,Dungeons of Death,https://moxfield.com/decks/CmXsAJpFak2_daWDYx4OPQ
