deck_key,partidas_jogadas,vitorias,empates,jogadores_unicos,eventos,derrotas,win_rate,is_banned,ban_rule,deck_name_pt,deck_name_en,colecao,deck_url
Dance of the Elements,22,5,0,8,9,17,0.22727272727272727,False,"12+ jogos e 33,33%+ WR",Dance of the Elements,Dance of the Elements,Lorwyn Eclipsed,https://moxfield.com/decks/Z9GXwZyiKkOfR3O5m1rEkw
Turtle Power!,20,3,0,7,6,17,0.15,False,"12+ jogos e 33,33%+ WR",Turtle Power!,Turtle Power!,Teenage Mutant Ninja Turtles,https://moxfield.com/decks/igKb7qATmkmYaX3M7hB4Sg
World Shaper,20,8,0,4,5,12,0.4,True,"12+ jogos e 33,33%+ WR",World Shaper,World Shaper,Edge of Eternities,https://moxfield.com/decks/n04yWsMGvUCmMQ8ImxJ_0A
Sultai Arisen,19,2,0,5,7,17,0.10526315789473684,False,"12+ jogos e 33,33%+ WR",Sultai Arisen,Sultai Arisen,Tarkir Dragonstorm,https://moxfield.com/decks/puUUlzKNckGa-UnaRQSbxw
Quandrix Unlimited,18,2,0,4,8,16,0.1111111111111111,False,"12+ jogos e 33,33%+ WR",Quandrix Unlimited,Quandrix Unlimited,Secrets of Strixhaven,https://moxfield.com/decks/ht3IDMDxnU2VOMi7MAhtFg
Revival Trance,16,4,0,3,6,12,0.25,False,"12+ jogos e 33,33%+ WR",Revival Trance,Revival Trance,Final Fantasy,https://moxfield.com/decks/pAPGhXsBz0OcmaT0sMK1_g
Lorehold Spirit,16,5,0,6,6,11,0.3125,False,"12+ jogos e 33,33%+ WR",Lorehold Spirit,Lorehold Spirit,Secrets of Strixhaven,https://moxfield.com/decks/u6bBAgiZn0aXxjms4_-J9A
Silverquill Influence,16,0,0,6,5,16,0.0,False,"12+ jogos e 33,33%+ WR",Silverquill Influence,Silverquill Influence,Secrets of Strixhaven,https://moxfield.com/decks/g9rcUGSiR02aO2Ozof0rNA
Scions & Spellcraft,14,0,0,6,6,14,0.0,False,"12+ jogos e 33,33%+ WR",Scions & Spellcraft,Scions & Spellcraft,Final Fantasy,https://moxfield.com/decks/r_IFt9Gc3UqaULfoAEjVvg
Abzan Armor,14,1,0,4,6,13,0.07142857142857142,False,"12+ jogos e 33,33%+ WR",Abzan Armor,Abzan Armor,Tarkir Dragonstorm,https://moxfield.com/decks/hdTiRiY5IEyCJFL2BR8cyg
The Fantastic Four,12,2,0,5,3,10,0.16666666666666666,False,"12+ jogos e 33,33%+ WR",The Fantastic Four,The Fantastic Four,Marvel Super Heroes,https://moxfield.com/decks/BiUxXKiGdEypp8UbWSJ-pQ
Creative Energy,12,3,0,5,5,9,0.25,False,"12+ jogos e 33,33%+ WR",Creative Energy,Creative Energy,Modern Horizons 3,https://moxfield.com/decks/V896XG46-kuKTCBXImt5Cg
Squirreled Away,12,0,0,4,6,12,0.0,False,"12+ jogos e 33,33%+ WR",Squirreled Away,Squirreled Away,Bloomburrow,https://moxfield.com/decks/4xEJiagwvEGelJy9ojLtZA
Rituais de Sangue,12,1,0,2,6,11,0.08333333333333333,False,"12+ jogos e 33,33%+ WR",Rituais de Sangue,Blood Rites,The Lost Caverns of Ixalan,https://moxfield.com/decks/GxV4Jc-yLkW_i6H3idVTYA
Virtude e Valor,11,1,0,3,5,10,0.09090909090909091,False,"12+ jogos e 33,33%+ WR",Virtude e Valor,Virtue and Valor,Wilds of Eldraine,https://moxfield.com/decks/Oo_99oH5K0ifS25Wzu5qLw
Witherbloom Pestilence,10,2,0,3,5,8,0.2,False,"12+ jogos e 33,33%+ WR",Witherbloom Pestilence,Witherbloom Pestilence,Secrets of Strixhaven,https://moxfield.com/decks/AfG94iTx-UeG0L1wvTfSug
