tid,tournament_name,start_date,round,table,status
liga-mesao-online-s1-e01,Liga Mesão Online S1 - E01,2026-01-22,1,1,
liga-mesao-online-s1-e01,Liga Mesão Online S1 - E01,2026-01-22,1,2,
liga-mesao-online-s1-e01,Liga Mesão Online S1 - E01,2026-01-22,1,3,
liga-mesao-online-s1-e01,Liga Mesão Online S1 - E01,2026-01-22,1,4,
liga-mesao-online-s1-e01,Liga Mesão Online S1 - E01,2026-01-22,1,5,
liga-mesao-online-s1-e01,Liga Mesão Online S1 - E01,2026-01-22,1,6,
liga-mesao-online-s1-e01,Liga Mesão Online S1 - E01,2026-01-22,2,1,
liga-mesao-online-s1-e01,Liga Mesão Online S1 - E01,2026-01-22,2,2,
liga-mesao-online-s1-e01,Liga Mesão Online S1 - E01,2026-01-22,2,3,
liga-mesao-online-s1-e01,Liga Mesão Online S1 - E01,2026-01-22,2,4,
liga-mesao-online-s1-e01,Liga Mesão Online S1 - E01,2026-01-22,2,5,
liga-mesao-online-s1-e01,Liga Mesão Online S1 - E01,2026-01-22,2,6,
liga-mesao-online-s1-e02,Liga Mesão Online S1 - E02,2026-02-12,1,1,
liga-mesao-online-s1-e02,Liga Mesão Online S1 - E02,2026-02-12,1,2,
liga-mesao-online-s1-e02,Liga Mesão Online S1 - E02,2026-02-12,1,3,
liga-mesao-online-s1-e02,Liga Mesão Online S1 - E02,2026-02-12,1,4,
liga-mesao-online-s1-e02,Liga Mesão Online S1 - E02,2026-02-12,1,5,
liga-mesao-online-s1-e02,Liga Mesão Online S1 - E02,2026-02-12,2,1,
liga-mesao-online-s1-e02,Liga Mesão Online S1 - E02,2026-02-12,2,2,
liga-mesao-online-s1-e02,Liga Mesão Online S1 - E02,2026-02-12,2,3,
liga-mesao-online-s1-e02,Liga Mesão Online S1 - E02,2026-02-12,2,4,
liga-mesao-online-s1-e02,Liga Mesão Online S1 - E02,2026-02-12,2,5,
liga-mesao-online-s1-e03,Liga Mesão Online S1 - E03,2026-02-26,1,1,
liga-mesao-online-s1-e03,Liga Mesão Online S1 - E03,2026-02-26,1,2,
liga-mesao-online-s1-e03,Liga Mesão Online S1 - E03,2026-02-26,1,3,
liga-mesao-online-s1-e03,Liga Mesão Online S1 - E03,2026-02-26,1,4,
liga-mesao-online-s1-e03,Liga Mesão Online S1 - E03,2026-02-26,1,5,
liga-mesao-online-s1-e03,Liga Mesão Online S1 - E03,2026-02-26,2,1,
liga-mesao-online-s1-e03,Liga Mesão Online S1 - E03,2026-02-26,2,2,
liga-mesao-online-s1-e03,Liga Mesão Online S1 - E03,2026-02-26,2,3,
liga-mesao-online-s1-e03,Liga Mesão Online S1 - E03,2026-02-26,2,4,
liga-mesao-online-s1-e03,Liga Mesão Online S1 - E03,2026-02-26,2,5,
liga-mesao-online-s1-e04,Liga Mesão Online S1 - E04,2026-03-12,1,1,
liga-mesao-online-s1-e04,Liga Mesão Online S1 - E04,2026-03-12,1,2,
liga-mesao-online-s1-e04,Liga Mesão Online S1 - E04,2026-03-12,1,3,
liga-mesao-online-s1-e04,Liga Mesão Online S1 - E04,2026-03-12,1,4,
liga-mesao-online-s1-e04,Liga Mesão Online S1 - E04,2026-03-12,1,5,
liga-mesao-online-s1-e04,Liga Mesão Online S1 - E04,2026-03-12,2,1,
liga-mesao-online-s1-e04,Liga Mesão Online S1 - E04,2026-03-12,2,2,
liga-mesao-online-s1-e04,Liga Mesão Online S1 - E04,2026-03-12,2,3,
liga-mesao-online-s1-e04,Liga Mesão Online S1 - E04,2026-03-12,2,4,
liga-mesao-online-s1-e04,Liga Mesão Online S1 - E04,2026-03-12,2,5,
liga-mesao-online-s1-e05,Liga Mesão Online S1 - E05,2026-03-26,1,1,
liga-mesao-online-s1-e05,Liga Mesão Online S1 - E05,2026-03-26,1,2,
liga-mesao-online-s1-e05,Liga Mesão Online S1 - E05,2026-03-26,1,3,
liga-mesao-online-s1-e05,Liga Mesão Online S1 - E05,2026-03-26,1,4,
liga-mesao-online-s1-e05,Liga Mesão Online S1 - E05,2026-03-26,2,1,
liga-mesao-online-s1-e05,Liga Mesão Online S1 - E05,2026-03-26,2,2,
liga-mesao-online-s1-e05,Liga Mesão Online S1 - E05,2026-03-26,2,3,
liga-mesao-online-s1-e05,Liga Mesão Online S1 - E05,2026-03-26,2,4,
