tid,tournament_name,start_date,month,player_name,player_id,standing,points,win_rate,opp_win_rate,decklist,commanders,raw_team,team_name,team_key,player_1,player_2,deck_1,deck_2,deck_url_1,deck_url_2,deck_name_pt_1,deck_name_pt_2,deck_name_en_1,deck_name_en_2,colecao_1,colecao_2,map_status,missing_players,missing_decks,points_official,event_rank,event_points,event_players
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01,Andressa & Carbeauty,rxCHpUnI6BhF3aqnDJUX,1,7,0.6666666666666666,0.6296296296296297,,,Carbeauty & Andressa,Andressa & Carbeauty,andressa & carbeauty,Carbeauty,Andressa,Blight Curse,Counter Blitz,https://moxfield.com/decks/dDoe4mrTwEWH0sP2H7WH4A,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,Blight Curse,Counter Blitz,Blight Curse,Counter Blitz,Lorwyn Eclipsed,Final Fantasy,manual,0,0,7,1.0,3.0,10.0
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01,Bauer & Marcos Sartori,cK00lRZ181cMm1O6Qll4,2,7,0.6666666666666666,0.5914814814814814,,,Marcos Sartori & Bauer,Bauer & Marcos Sartori,bauer & marcos sartori,Marcos Sartori,Bauer,Counter Blitz,Influência Corruptora,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,https://moxfield.com/decks/wRdT-auSDE6XcMJPM0aHDA,Counter Blitz,Influência Corruptora,Counter Blitz,Corrupting Influence,Final Fantasy,Phyrexia: All Will Be One,manual,0,0,7,2.0,2.0,10.0
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01,Juliano & Mateus,rsVhe5vz4jEHBziw1Y0v,3,6,0.6666666666666666,0.5555555555555556,,,Juliano & Mateus,Juliano & Mateus,juliano & mateus,Juliano,Mateus,Içar Velas,Virtude e Valor,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,https://moxfield.com/decks/Oo_99oH5K0ifS25Wzu5qLw,Içar Velas,Virtude e Valor,Ahoy Mateys,Virtue and Valor,The Lost Caverns of Ixalan,Wilds of Eldraine,manual,0,0,6,3.0,2.0,10.0
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01,Samuel & Thiago,j2QCbi8rckQctKFUxHEn,4,6,0.6666666666666666,0.4803703703703704,,,Samuel Maia & Thiago,Samuel & Thiago,samuel & thiago,Samuel,Thiago,,,,,,,,,,,parsed,0,1,6,4.0,2.0,10.0
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01,Fabio & Luiz,znBL3tiqw1dZD2kq4HXa,5,4,0.3333333333333333,0.5174074074074074,,,Fabio & Luiz,Fabio & Luiz,fabio & luiz,Fabio,Luiz,Counter Blitz,Exploradores das Profundezas,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,https://moxfield.com/decks/SvrXYfEIn0q5EprNPf0mqQ,Counter Blitz,Exploradores das Profundezas,Counter Blitz,Explorers of the Deep,Final Fantasy,The Lost Caverns of Ixalan,manual,0,0,4,5.0,1.0,10.0
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01,Jorel & Martin,XFnj6iHRxlA9M4LynmFv,6,4,0.3333333333333333,0.48037037037037034,,,Martin & Jorel,Jorel & Martin,jorel & martin,Martin,Jorel,Jeskai Striker,Endless Punishment,https://moxfield.com/decks/GqSQ24NIJkq-144dkab-HQ,https://moxfield.com/decks/eg5J71BzAU-yctY6lRn12Q,Jeskai Striker,Endless Punishment,Jeskai Striker,Endless Punishment,Tarkir Dragonstorm,Duskmourn: House of Horror,manual,0,0,4,6.0,1.0,10.0
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01,Felipe Familiar & Langa,uRPALW9SRbM8DFGEbBeQ,7,4,0.3333333333333333,0.44333333333333336,,,Felipe Familiar & Langa,Felipe Familiar & Langa,felipe familiar & langa,Felipe Familiar,Langa,Blight Curse,Içar Velas,https://moxfield.com/decks/dDoe4mrTwEWH0sP2H7WH4A,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,Blight Curse,Içar Velas,Blight Curse,Ahoy Mateys,Lorwyn Eclipsed,The Lost Caverns of Ixalan,manual,0,0,4,7.0,1.0,10.0
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01,Erick & Glauber,X5LrLopnvGARQgwpYJEb,8,3,0.3333333333333333,0.4803703703703704,,,Glauber & Erick,Erick & Glauber,erick & glauber,Glauber,Erick,Levante Entrópico,Dance of the Elements,https://moxfield.com/decks/s4Ex7br4q0iFcwYzq80M7w,https://moxfield.com/decks/Z9GXwZyiKkOfR3O5m1rEkw,Levante Entrópico,Dance of the Elements,Entropic Uprising,Dance of the Elements,Commander 2016,Lorwyn Eclipsed,manual,0,0,3,8.0,1.0,10.0
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01,Boone & Reva,l0Uc9FBlfz6gAsFTSH9U,9,1,0.0,0.5185185185185185,,,Reva & Boone,Boone & Reva,boone & reva,Reva,Boone,Dance of the Elements,Animated Army,https://moxfield.com/decks/Z9GXwZyiKkOfR3O5m1rEkw,https://moxfield.com/decks/IZBQnOST_kWlQtqytb75rg,Dance of the Elements,Animated Army,Dance of the Elements,Animated Army,Lorwyn Eclipsed,Bloomburrow,manual,0,0,1,9.0,1.0,10.0
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2026-01,Chueiry & Vicente,1zFIu3Ek4VIawnKRq54V,10,0,0.0,0.5185185185185185,,,Chueiry & Vicente,Chueiry & Vicente,chueiry & vicente,Chueiry,Vicente,Temur Roar,Angels: They're Just Like Us but Cooler and With Wings,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,https://moxfield.com/decks/Q3Wn5qhG0UWFaGIYEpmRjQ,Temur Roar,Angels: They're Just Like Us but Cooler and With Wings,Temur Roar,Angels: They're Just Like Us but Cooler and With Wings,Tarkir Dragonstorm,Secret Lair Commander Deck,manual,0,0,0,10.0,1.0,10.0
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2026-02,Samuel & Thiago,yarIweAMYjBQ7hkJZqKu,1,9,1.0,0.5925925925925926,,,Samuel Maia & Thiago,Samuel & Thiago,samuel & thiago,Samuel,Thiago,Squirreled Away,Blight Curse,https://moxfield.com/decks/4xEJiagwvEGelJy9ojLtZA,https://moxfield.com/decks/dDoe4mrTwEWH0sP2H7WH4A,Squirreled Away,Blight Curse,Squirreled Away,Blight Curse,Bloomburrow,Lorwyn Eclipsed,manual,0,0,9,1.0,3.0,12.0
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2026-02,Carlos & Errejota,JuiLXww4SOB3t47nblyU,2,6,0.6666666666666666,0.6666666666666666,,,Carlos & Errejota,Carlos & Errejota,carlos & errejota,Carlos,Errejota,Temur Roar,Dance of the Elements,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,https://moxfield.com/decks/Z9GXwZyiKkOfR3O5m1rEkw,Temur Roar,Dance of the Elements,Temur Roar,Dance of the Elements,Tarkir Dragonstorm,Lorwyn Eclipsed,manual,0,0,6,2.0,2.0,12.0
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2026-02,Boone & Reva,56VW2ypm1Q60I7pd1VCj,3,6,0.6666666666666666,0.5925925925925926,,,Reva & Boone,Boone & Reva,boone & reva,Reva,Boone,Creative Energy,Timey-Wimey,https://moxfield.com/decks/V896XG46-kuKTCBXImt5Cg,https://moxfield.com/decks/weR7hsL3Vk-I2qTNGqfK2w,Creative Energy,Timey-Wimey,Creative Energy,Timey-Wimey,Modern Horizons 3,Doctor Who,manual,0,0,6,3.0,2.0,12.0
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2026-02,Jorel & Martin,dnmV75OvXzTux6llAbTM,4,6,0.6666666666666666,0.4444444444444444,,,Jorel & Martin,Jorel & Martin,jorel & martin,Jorel,Martin,Domínio das Fadinas,Jeskai Striker,https://moxfield.com/decks/ErDyBjAnKE6l5TqX6wMxdg,https://moxfield.com/decks/GqSQ24NIJkq-144dkab-HQ,Domínio das Fadinas,Jeskai Striker,Fae Dominion,Jeskai Striker,Wilds of Eldraine,Tarkir Dragonstorm,manual,0,0,6,4.0,2.0,12.0
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2026-02,Erick & Fabio,MgukdtqpFCWGovSzBs6r,5,6,0.6666666666666666,0.3703703703703703,,,Erick & Fábio,Erick & Fabio,erick & fabio,Erick,Fabio,Counter Blitz,Exploradores das Profundezas,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,https://moxfield.com/decks/SvrXYfEIn0q5EprNPf0mqQ,Counter Blitz,Exploradores das Profundezas,Counter Blitz,Explorers of the Deep,Final Fantasy,The Lost Caverns of Ixalan,manual,0,0,6,5.0,1.0,12.0
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2026-02,Bauer & Langa,NM3O5De3jIdZ7EJI1kC1,6,4,0.3333333333333333,0.7037037037037036,,,Bauer & Langa,Bauer & Langa,bauer & langa,Bauer,Langa,Endless Punishment,Içar Velas,https://moxfield.com/decks/eg5J71BzAU-yctY6lRn12Q,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,Endless Punishment,Içar Velas,Endless Punishment,Ahoy Mateys,Duskmourn: House of Horror,The Lost Caverns of Ixalan,manual,0,0,4,6.0,1.0,12.0
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2026-02,Arthur Sartori & Marcos Sartori,nJsdPaC7XnkP5XpdUJVZ,7,4,0.3333333333333333,0.48148148148148145,,,Marcos Sartori & Arthur Sartori,Arthur Sartori & Marcos Sartori,arthur sartori & marcos sartori,Marcos Sartori,Arthur Sartori,Temur Roar,Veloci-E-Rápido,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,https://moxfield.com/decks/KcPWaLquLkmIOy3XsFHTqQ,Temur Roar,Veloci-E-Rápido,Temur Roar,Veloci-Ramp-Tor,Tarkir Dragonstorm,The Lost Caverns of Ixalan,manual,0,0,4,7.0,1.0,12.0
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2026-02,Juliano & Mateus,yMD2pSANi2g4mpz2pVNw,8,3,0.3333333333333333,0.5555555555555555,,,Juliano & Mateus,Juliano & Mateus,juliano & mateus,Juliano,Mateus,Içar Velas,Virtude e Valor,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,https://moxfield.com/decks/Oo_99oH5K0ifS25Wzu5qLw,Içar Velas,Virtude e Valor,Ahoy Mateys,Virtue and Valor,The Lost Caverns of Ixalan,Wilds of Eldraine,manual,0,0,3,8.0,1.0,12.0
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2026-02,Marcelo & Samuel,mtWg56AgZRET20q9isy8,9,3,0.3333333333333333,0.5544444444444444,,,Marcelo & Samuel,Marcelo & Samuel,marcelo & samuel,Marcelo,Samuel,Dance of the Elements,Endless Punishment,https://moxfield.com/decks/Z9GXwZyiKkOfR3O5m1rEkw,https://moxfield.com/decks/eg5J71BzAU-yctY6lRn12Q,Dance of the Elements,Endless Punishment,Dance of the Elements,Endless Punishment,Lorwyn Eclipsed,Duskmourn: House of Horror,manual,0,0,3,9.0,1.0,12.0
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2026-02,Gustavo Dias & Udo,1FDH3YwLOJqqhoGYjXHh,10,3,0.3333333333333333,0.4803703703703704,,,Gustavo Dias & Udo,Gustavo Dias & Udo,gustavo dias & udo,Gustavo Dias,Udo,Ferocidade Felina,Pedido de Apoio,https://moxfield.com/decks/T9XdORiOPky0VSmV63hoKA,https://moxfield.com/decks/tqa1AHW1_0WhE-TvWKD1Ng,Ferocidade Felina,Pedido de Apoio,Feline Ferocity,Call for Backup,Commander 2017,March of the Machine,manual,0,0,3,10.0,1.0,12.0
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2026-02,João Marmentini & Vande,d6onUDRz14avzaFVYFE6,11,3,0.3333333333333333,0.4433333333333333,,,Vande & Joao Marmentini,João Marmentini & Vande,joao marmentini & vande,Vande,João Marmentini,Counter Blitz,Virtude e Valor,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,https://moxfield.com/decks/Oo_99oH5K0ifS25Wzu5qLw,Counter Blitz,Virtude e Valor,Counter Blitz,Virtue and Valor,Final Fantasy,Wilds of Eldraine,manual,0,0,3,11.0,1.0,12.0
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2026-02,Chueiry & Vicente,qw4XxzovtDnuqfsMelKQ,12,0,0.0,0.3333333333333333,,,Chueiry & Vicente,Chueiry & Vicente,chueiry & vicente,Chueiry,Vicente,Dance of the Elements,Enxame Fractius,https://moxfield.com/decks/Z9GXwZyiKkOfR3O5m1rEkw,https://moxfield.com/decks/dnY2YPlJtkalYCkLZ9Q0YQ,Dance of the Elements,Enxame Fractius,Dance of the Elements,Sliver Swarm,Lorwyn Eclipsed,Commander Masters,manual,0,0,0,12.0,1.0,12.0
liga-2x2-online-s1-e03,Liga 2x2 Online S1-E03,2026-02-19,2026-02,Bauer & Langa,uZB9erm2UyCSupfYRLmj,1,7,0.6666666666666666,0.5925925925925926,,,Langa & Bauer,Bauer & Langa,bauer & langa,Langa,Bauer,Içar Velas,Temur Roar,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,Içar Velas,Temur Roar,Ahoy Mateys,Temur Roar,The Lost Caverns of Ixalan,Tarkir Dragonstorm,manual,0,0,7,1.0,3.0,8.0
liga-2x2-online-s1-e03,Liga 2x2 Online S1-E03,2026-02-19,2026-02,Jorel & Martin,FIWIeD1Fl6s9v6TwJ89J,2,7,0.6666666666666666,0.5185185185185185,,,Jorel & Martin,Jorel & Martin,jorel & martin,Jorel,Martin,Blight Curse,Counter Blitz,https://moxfield.com/decks/dDoe4mrTwEWH0sP2H7WH4A,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg,Blight Curse,Counter Blitz,Blight Curse,Counter Blitz,Lorwyn Eclipsed,Final Fantasy,manual,0,0,7,2.0,2.0,8.0
liga-2x2-online-s1-e03,Liga 2x2 Online S1-E03,2026-02-19,2026-02,Carlos & Errejota,Y0QFPQR8yt8RFZGIBNrO,3,6,0.6666666666666666,0.4803703703703704,,,Carlos & Errejota,Carlos & Errejota,carlos & errejota,Carlos,Errejota,Animated Army,Temur Roar,https://moxfield.com/decks/IZBQnOST_kWlQtqytb75rg,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw,Animated Army,Temur Roar,Animated Army,Temur Roar,Bloomburrow,Tarkir Dragonstorm,manual,0,0,6,3.0,2.0,8.0
