tid,tournament_name,start_date,round,table,status
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,1,1,
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,1,2,
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,1,3,
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,1,4,
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,1,5,
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2,1,
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2,2,
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2,3,
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2,4,
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,2,5,
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,3,1,
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,3,2,
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,3,3,
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,3,4,
liga-2x2-online-s1-e01,Liga 2x2 Online S1-E01,2026-01-29,3,5,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,1,1,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,1,2,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,1,3,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,1,4,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,1,5,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,1,6,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2,1,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2,2,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2,3,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2,4,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2,5,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,2,6,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,3,1,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,3,2,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,3,3,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,3,4,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,3,5,
liga-2x2-online-s1-e02,Liga 2x2 Online S1-E02,2026-02-05,3,6,
liga-2x2-online-s1-e03,Liga 2x2 Online S1-E03,2026-02-19,1,1,
