deck_key,partidas_jogadas,vitorias,empates,jogadores_unicos,eventos,derrotas,win_rate,is_banned,ban_rule,deck_name_pt,deck_name_en,colecao,deck_url
Turtle Power!,69,10,0,17,14,59,0.14492753623188406,False,"24+ jogos e 33,33%+ WR",Turtle Power!,Turtle Power!,Teenage Mutant Ninja Turtles,https://moxfield.com/decks/igKb7qATmkmYaX3M7hB4Sg
Lorehold Spirit,58,12,0,16,14,46,0.20689655172413793,False,"24+ jogos e 33,33%+ WR",Lorehold Spirit,Lorehold Spirit,Secrets of Strixhaven,https://moxfield.com/decks/u6bBAgiZn0aXxjms4_-J9A
Peace Offering,54,12,0,13,18,42,0.2222222222222222,False,"24+ jogos e 33,33%+ WR",Peace Offering,Peace Offering,Bloomburrow,https://moxfield.com/decks/KBRpP_X7_kucB2DzGnROjQ
Blight Curse,53,5,0,18,17,48,0.09433962264150944,False,"24+ jogos e 33,33%+ WR",Blight Curse,Blight Curse,Lorwyn Eclipsed,https://moxfield.com/decks/dDoe4mrTwEWH0sP2H7WH4A
Veloci-E-Rápido,52,11,0,10,16,41,0.21153846153846154,False,"24+ jogos e 33,33%+ WR",Veloci-E-Rápido,Veloci-Ramp-Tor,The Lost Caverns of Ixalan,https://moxfield.com/decks/KcPWaLquLkmIOy3XsFHTqQ
World Shaper,52,11,0,16,18,41,0.21153846153846154,False,"24+ jogos e 33,33%+ WR",World Shaper,World Shaper,Edge of Eternities,https://moxfield.com/decks/n04yWsMGvUCmMQ8ImxJ_0A
Wakanda Forever,43,9,0,14,9,34,0.20930232558139536,False,"24+ jogos e 33,33%+ WR",Wakanda Forever,Wakanda Forever,Marvel Super Heroes,https://moxfield.com/decks/sWfwgd1bQUetBcj5gFVaYQ
Quandrix Unlimited,42,13,0,11,10,29,0.30952380952380953,False,"24+ jogos e 33,33%+ WR",Quandrix Unlimited,Quandrix Unlimited,Secrets of Strixhaven,https://moxfield.com/decks/ht3IDMDxnU2VOMi7MAhtFg
Prismari Artistry,42,8,0,15,12,34,0.19047619047619047,False,"24+ jogos e 33,33%+ WR",Prismari Artistry,Prismari Artistry,Secrets of Strixhaven,https://moxfield.com/decks/Fh99bHrQZ0KLu34C2JXu5w
Silverquill Influence,42,9,0,15,10,33,0.21428571428571427,False,"24+ jogos e 33,33%+ WR",Silverquill Influence,Silverquill Influence,Secrets of Strixhaven,https://moxfield.com/decks/g9rcUGSiR02aO2Ozof0rNA
