deck_key,partidas_jogadas,vitorias,empates,jogadores_unicos,eventos,derrotas,win_rate,is_banned,ban_rule,deck_name_pt,deck_name_en,colecao,deck_url
Turtle Power!,60,29,6,12,12,25,0.48333333333333334,False,"12+ jogos e 66,6%+ WR",Turtle Power!,Turtle Power!,Teenage Mutant Ninja Turtles,https://moxfield.com/decks/igKb7qATmkmYaX3M7hB4Sg
Içar Velas,52,19,4,10,12,29,0.36538461538461536,False,"12+ jogos e 66,6%+ WR",Içar Velas,Ahoy Mateys,The Lost Caverns of Ixalan,https://moxfield.com/decks/2wB6WsbRwU-ZdNlWHu6VKg
Veloci-E-Rápido,46,21,8,7,12,17,0.45652173913043476,False,"12+ jogos e 66,6%+ WR",Veloci-E-Rápido,Veloci-Ramp-Tor,The Lost Caverns of Ixalan,https://moxfield.com/decks/KcPWaLquLkmIOy3XsFHTqQ
Counter Blitz,46,24,8,10,12,14,0.5217391304347826,False,"12+ jogos e 66,6%+ WR",Counter Blitz,Counter Blitz,Final Fantasy,https://moxfield.com/decks/sDazpxFOb0S9IAdQSA_7lg
Silverquill Influence,32,13,5,8,9,14,0.40625,False,"12+ jogos e 66,6%+ WR",Silverquill Influence,Silverquill Influence,Secrets of Strixhaven,https://moxfield.com/decks/g9rcUGSiR02aO2Ozof0rNA
Scions & Spellcraft,30,15,5,8,8,10,0.5,False,"12+ jogos e 66,6%+ WR",Scions & Spellcraft,Scions & Spellcraft,Final Fantasy,https://moxfield.com/decks/r_IFt9Gc3UqaULfoAEjVvg
Temur Roar,29,11,3,8,8,15,0.3793103448275862,False,"12+ jogos e 66,6%+ WR",Temur Roar,Temur Roar,Tarkir Dragonstorm,https://moxfield.com/decks/sao-2xrGqUCIfv46edPgmw
Domínio das Fadinas,28,7,9,5,9,12,0.25,False,"12+ jogos e 66,6%+ WR",Domínio das Fadinas,Fae Dominion,Wilds of Eldraine,https://moxfield.com/decks/ErDyBjAnKE6l5TqX6wMxdg
Virtude e Valor,27,14,2,8,6,11,0.5185185185185185,False,"12+ jogos e 66,6%+ WR",Virtude e Valor,Virtue and Valor,Wilds of Eldraine,https://moxfield.com/decks/Oo_99oH5K0ifS25Wzu5qLw
Lorehold Spirit,24,12,3,4,5,9,0.5,False,"12+ jogos e 66,6%+ WR",Lorehold Spirit,Lorehold Spirit,Secrets of Strixhaven,https://moxfield.com/decks/u6bBAgiZn0aXxjms4_-J9A
Jump Scare!,24,16,4,2,8,4,0.6666666666666666,True,"12+ jogos e 66,6%+ WR",Jump Scare!,Jump Scare!,Duskmourn: House of Horror,https://moxfield.com/decks/XzGgdXc-TE-qFr4lzmGl6Q
Prismari Artistry,23,12,2,7,6,9,0.5217391304347826,False,"12+ jogos e 66,6%+ WR",Prismari Artistry,Prismari Artistry,Secrets of Strixhaven,https://moxfield.com/decks/Fh99bHrQZ0KLu34C2JXu5w
Endless Punishment,23,13,0,5,8,10,0.5652173913043478,False,"12+ jogos e 66,6%+ WR",Endless Punishment,Endless Punishment,Duskmourn: House of Horror,https://moxfield.com/decks/eg5J71BzAU-yctY6lRn12Q
Quandrix Unlimited,22,7,3,6,6,12,0.3181818181818182,False,"12+ jogos e 66,6%+ WR",Quandrix Unlimited,Quandrix Unlimited,Secrets of Strixhaven,https://moxfield.com/decks/ht3IDMDxnU2VOMi7MAhtFg
Wakanda Forever,17,5,5,6,4,7,0.29411764705882354,False,"12+ jogos e 66,6%+ WR",Wakanda Forever,Wakanda Forever,Marvel Super Heroes,https://moxfield.com/decks/sWfwgd1bQUetBcj5gFVaYQ
World Shaper,16,8,3,5,5,5,0.5,False,"12+ jogos e 66,6%+ WR",World Shaper,World Shaper,Edge of Eternities,https://moxfield.com/decks/n04yWsMGvUCmMQ8ImxJ_0A
Maelstrom Arcano,15,8,3,3,5,4,0.5333333333333333,False,"12+ jogos e 66,6%+ WR",Maelstrom Arcano,Arcane Maelstrom,Commander 2020 - Ikoria,https://moxfield.com/decks/9dBPnvVgpE6CUYp-3EHlAw
Jeskai Striker,15,9,1,4,5,5,0.6,False,"12+ jogos e 66,6%+ WR",Jeskai Striker,Jeskai Striker,Tarkir Dragonstorm,https://moxfield.com/decks/GqSQ24NIJkq-144dkab-HQ
Squirreled Away,15,7,4,5,4,4,0.4666666666666667,False,"12+ jogos e 66,6%+ WR",Squirreled Away,Squirreled Away,Bloomburrow,https://moxfield.com/decks/4xEJiagwvEGelJy9ojLtZA
Ameaça Mutante,14,6,0,3,4,8,0.42857142857142855,False,"12+ jogos e 66,6%+ WR",Ameaça Mutante,Mutant Menace,Fallout,https://moxfield.com/decks/948Bdak9Pki93eeh-lUUVA
Counter Inteligence,14,10,0,3,5,4,0.7142857142857143,True,"12+ jogos e 66,6%+ WR",Counter Inteligence,Counter Inteligence,Edge of Eternities,https://moxfield.com/decks/3_8jtm_lzESK6BdFtnM3iA
Creative Energy,14,4,1,5,6,9,0.2857142857142857,False,"12+ jogos e 66,6%+ WR",Creative Energy,Creative Energy,Modern Horizons 3,https://moxfield.com/decks/V896XG46-kuKTCBXImt5Cg
Cavaleiros de Rohan,13,3,0,5,5,10,0.23076923076923078,False,"12+ jogos e 66,6%+ WR",Cavaleiros de Rohan,Riders of Rohan,The Lord Of The Rings: Tales Of Middle-Earth,https://moxfield.com/decks/hi-cA6GBykKPYJ9xW0g_KQ
Sultai Arisen,12,5,0,3,4,7,0.4166666666666667,False,"12+ jogos e 66,6%+ WR",Sultai Arisen,Sultai Arisen,Tarkir Dragonstorm,https://moxfield.com/decks/puUUlzKNckGa-UnaRQSbxw
Sabedoria Eterna,11,4,4,1,4,3,0.36363636363636365,False,"12+ jogos e 66,6%+ WR",Sabedoria Eterna,Timeless Wisdom,Commander 2020 - Ikoria,https://moxfield.com/decks/mlElAIMD4EazCpFh8osZaw
Quandrix Quântica,11,5,3,2,4,3,0.45454545454545453,False,"12+ jogos e 66,6%+ WR",Quandrix Quântica,Quantum Quandrix,Commander 2021 - Strixhaven,https://moxfield.com/decks/PZE0uF5pckKFccZKFvp1mg
Avengers Assemble,11,5,3,4,2,3,0.45454545454545453,False,"12+ jogos e 66,6%+ WR",Avengers Assemble,Avengers Assemble,Marvel Super Heroes,https://moxfield.com/decks/dXgR2kmN2Uyovl7B9qHcPg
Exploradores das Profundezas,9,0,3,4,3,6,0.0,False,"12+ jogos e 66,6%+ WR",Exploradores das Profundezas,Explorers of the Deep,The Lost Caverns of Ixalan,https://moxfield.com/decks/SvrXYfEIn0q5EprNPf0mqQ
Devorarrrdores de Mentes,9,3,1,3,3,5,0.3333333333333333,False,"12+ jogos e 66,6%+ WR",Devorarrrdores de Mentes,Mind Flayarrrs,Commander Legends: Battle for Baldur's Gate,https://moxfield.com/decks/fmt6yaMreU2LXsLELVt7xw
Blight Curse,8,2,3,2,3,3,0.25,False,"12+ jogos e 66,6%+ WR",Blight Curse,Blight Curse,Lorwyn Eclipsed,https://moxfield.com/decks/dDoe4mrTwEWH0sP2H7WH4A
