tid,tournament_name,start_date,round,table,status
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,1,1,
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,1,2,
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,1,3,
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,2,1,
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,2,2,
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,2,3,
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,3,1,
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,3,2,
liga-2x2-presencial-s1-e01-1,Liga 2x2 presencial S1-E01,2026-01-31,3,3,
liga-2x2-presencial-s1-e02,Liga 2x2 presencial S1-E02,2026-02-07,1,1,
liga-2x2-presencial-s1-e02,Liga 2x2 presencial S1-E02,2026-02-07,1,2,
liga-2x2-presencial-s1-e02,Liga 2x2 presencial S1-E02,2026-02-07,2,1,
liga-2x2-presencial-s1-e02,Liga 2x2 presencial S1-E02,2026-02-07,2,2,
liga-2x2-presencial-s1-e02,Liga 2x2 presencial S1-E02,2026-02-07,3,1,
liga-2x2-presencial-s1-e02,Liga 2x2 presencial S1-E02,2026-02-07,3,2,
liga-2x2-presencial-s1-e04,Liga 2x2 presencial S1-E04,2026-02-21,1,1,
liga-2x2-presencial-s1-e04,Liga 2x2 presencial S1-E04,2026-02-21,1,2,
liga-2x2-presencial-s1-e04,Liga 2x2 presencial S1-E04,2026-02-21,1,3,
liga-2x2-presencial-s1-e04,Liga 2x2 presencial S1-E04,2026-02-21,2,1,
liga-2x2-presencial-s1-e04,Liga 2x2 presencial S1-E04,2026-02-21,2,2,
liga-2x2-presencial-s1-e04,Liga 2x2 presencial S1-E04,2026-02-21,2,3,
liga-2x2-presencial-s1-e04,Liga 2x2 presencial S1-E04,2026-02-21,3,1,
liga-2x2-presencial-s1-e04,Liga 2x2 presencial S1-E04,2026-02-21,3,2,
liga-2x2-presencial-s1-e04,Liga 2x2 presencial S1-E04,2026-02-21,3,3,
liga-2x2-presencial-s1-e06,Liga 2x2 presencial S1-E06,2026-03-07,1,1,
liga-2x2-presencial-s1-e06,Liga 2x2 presencial S1-E06,2026-03-07,1,2,
liga-2x2-presencial-s1-e06,Liga 2x2 presencial S1-E06,2026-03-07,1,3,
liga-2x2-presencial-s1-e06,Liga 2x2 presencial S1-E06,2026-03-07,2,1,
liga-2x2-presencial-s1-e06,Liga 2x2 presencial S1-E06,2026-03-07,2,2,
liga-2x2-presencial-s1-e06,Liga 2x2 presencial S1-E06,2026-03-07,3,1,
liga-2x2-presencial-s1-e06,Liga 2x2 presencial S1-E06,2026-03-07,3,2,
liga-2x2-presencial-s1-e07,Liga 2x2 presencial S1-E07,2026-03-14,1,1,
liga-2x2-presencial-s1-e07,Liga 2x2 presencial S1-E07,2026-03-14,1,2,
liga-2x2-presencial-s1-e07,Liga 2x2 presencial S1-E07,2026-03-14,1,3,
liga-2x2-presencial-s1-e07,Liga 2x2 presencial S1-E07,2026-03-14,1,4,
liga-2x2-presencial-s1-e07,Liga 2x2 presencial S1-E07,2026-03-14,2,1,
liga-2x2-presencial-s1-e07,Liga 2x2 presencial S1-E07,2026-03-14,2,2,
liga-2x2-presencial-s1-e07,Liga 2x2 presencial S1-E07,2026-03-14,2,3,
liga-2x2-presencial-s1-e07,Liga 2x2 presencial S1-E07,2026-03-14,2,4,
liga-2x2-presencial-s1-e07,Liga 2x2 presencial S1-E07,2026-03-14,3,1,
