team_name,team_key,league_points,eventos
Metusa & Rudzzt,metusa & rudzzt,22,14
Jorel & Martin,jorel & martin,21,11
Melk & Sônia,melk & sonia,17,9
Arthur Castanhari & Murilo Oyafuso,arthur castanhari & murilo oyafuso,16,8
Metusa & Nobru,metusa & nobru,6,2
André & Matheus,andre & matheus,5,4
Oscar & Vini,oscar & vini,4,4
Banshee & Jorel,banshee & jorel,4,2
Banshee & Martin,banshee & martin,4,2
Carlos Kit & Gustavo Dias,carlos kit & gustavo dias,4,2
André & Zangalli,andre & zangalli,3,2
Johann & Matheus,johann & matheus,3,2
Luciano & Matheus,luciano & matheus,3,2
Bauer & Langa,bauer & langa,3,1
Vina & Zangalli,vina & zangalli,3,1
Leonardo & Theo,leonardo & theo,2,2
Matheus & Romano,matheus & romano,2,2
Nathan & Rogério,nathan & rogerio,2,2
Nobru & Tarik,nobru & tarik,2,2
Anthony & Oscar,anthony & oscar,2,1
Banshee & Ruanito,banshee & ruanito,2,1
Banshee & Zangalli,banshee & zangalli,2,1
Beck & Matheus,beck & matheus,2,1
Beck & Ricardo,beck & ricardo,2,1
Carlos & Mel,carlos & mel,2,1
Cheury & Zangalli,cheury & zangalli,2,1
Fiel & marcus vinicius werneck esteves,fiel & marcus vinicius werneck esteves,2,1
Furiatti & Nakamura,furiatti & nakamura,2,1
Guga & Langa,guga & langa,2,1
Gustavo Dias & Gustavo taverna,gustavo dias & gustavo taverna,2,1
Gustavo Dias & Melk,gustavo dias & melk,2,1
Langa & Murilo Ferreira,langa & murilo ferreira,2,1
Lily & Nathalia,lily & nathalia,2,1
Lucas & Luiz Rodrigues,lucas & luiz rodrigues,2,1
Oscar & Tony,oscar & tony,2,1
Pedro & Teixeira,pedro & teixeira,2,1
Zangalli & Zangalli pai,zangalli & zangalli pai,2,1
Aleksander & Luisa,aleksander & luisa,1,1
André & Theo,andre & theo,1,1
Banshee & Gabi,banshee & gabi,1,1
Baron & Dare,baron & dare,1,1
Bauer & Kennao,bauer & kennao,1,1
Beck & Gus,beck & gus,1,1
Beck & Rogério,beck & rogerio,1,1
Berka & Du,berka & du,1,1
Berka & Nobru,berka & nobru,1,1
Clausius & Zangalli,clausius & zangalli,1,1
Coelho & Nathan,coelho & nathan,1,1
Eduardo & Luís Zangalli,eduardo & luis zangalli,1,1
Everton Grochoski & Gabriel Arents,everton grochoski & gabriel arents,1,1
Ewerson & Gabriel,ewerson & gabriel,1,1
Fabi & João Marmentini,fabi & joao marmentini,1,1
Freire & Pudeulko,freire & pudeulko,1,1
Guga & Nobru,guga & nobru,1,1
Gustavo Dias & Luciano,gustavo dias & luciano,1,1
Hermann & João,hermann & joao,1,1
Kit & Nobru,kit & nobru,1,1
Lucas & Luiz,lucas & luiz,1,1
Luiz Henrique & Pietro,luiz henrique & pietro,1,1
Manfrinato & Melissa,manfrinato & melissa,1,1
Matheus & Murilo,matheus & murilo,1,1
Melk & Nobru,melk & nobru,1,1
Nath & Zubk,nath & zubk,1,1
Nicolas & Nobru,nicolas & nobru,1,1
Susan & Vinicius,susan & vinicius,1,1
