tid,tournament_name,start_date,team_name,raw_team,player_name,slot,deck
liga-2x2-presencial-s1-e04,Liga 2x2 presencial S1-E04,2026-02-21,Freire & Pudeulko,Freire & Pudeulko,Freire,1,Sem deck
liga-2x2-presencial-s1-e04,Liga 2x2 presencial S1-E04,2026-02-21,Freire & Pudeulko,Freire & Pudeulko,Pudeulko,2,Sem deck
liga-2x2-presencial-s1-e04,Liga 2x2 presencial S1-E04,2026-02-21,Nobru & Tarik,Nobru & Tarik,Nobru,1,Sem deck
liga-2x2-presencial-s1-e04,Liga 2x2 presencial S1-E04,2026-02-21,Nobru & Tarik,Nobru & Tarik,Tarik,2,Sem deck
liga-2x2-presencial-s1-e06,Liga 2x2 presencial S1-E06,2026-03-07,Aleksander & Luisa,Aleksander e Luisa,Aleksander,1,Sem deck
liga-2x2-presencial-s1-e06,Liga 2x2 presencial S1-E06,2026-03-07,Aleksander & Luisa,Aleksander e Luisa,Luisa,2,Sem deck
liga-2x2-presencial-s1-e09,Liga 2x2 presencial S1-E09,2026-03-28,Matheus & Romano,Matheus & Romano,Matheus,1,Sem deck
liga-2x2-presencial-s1-e09,Liga 2x2 presencial S1-E09,2026-03-28,Matheus & Romano,Matheus & Romano,Romano,2,Sem deck
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,Eduardo & Luís Zangalli,Eduardo & Luís Zangalli,Eduardo,1,Sem deck
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,Eduardo & Luís Zangalli,Eduardo & Luís Zangalli,Luís Zangalli,2,Sem deck
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,Ewerson & Gabriel,Ewerson & Gabriel,Ewerson,1,Sem deck
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,Ewerson & Gabriel,Ewerson & Gabriel,Gabriel,2,Sem deck
liga-2x2-presencial-s2-e2,Liga 2x2 presencial S2-E2,2026-04-11,Melk & Nobru,Nobru & Melk,Melk,2,Sem deck
liga-2x2-presencial-s2-e3,Liga 2x2 presencial S2-E3,2026-04-25,Gustavo Dias & Gustavo taverna,Gustavo dias & Gustavo taverna,Gustavo Dias,1,Sem deck
liga-2x2-presencial-s2-e3,Liga 2x2 presencial S2-E3,2026-04-25,Gustavo Dias & Gustavo taverna,Gustavo dias & Gustavo taverna,Gustavo taverna,2,Sem deck
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,Hermann & João,João & Hermann,João,1,Sem deck
liga-2x2-presencial-s2-e7,Liga 2x2 presencial S2-E7,2026-05-23,Hermann & João,João & Hermann,Hermann,2,Sem deck
